sim,radiotype,radio,mcc,mnc,area,cellid,unit,lat,lon,signal,extra,acc,time,speed,bearing,alt,api,device
2,LTE,LTE,404,95,3009,230462475,131,9.0984081,76.4901314,-109,6,6.6,1718331002008,0.2,69.3,-67.1,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,230462475,131,9.0984094,76.4901409,-109,6,6.8,1718331007013,0.3,62.7,-67.1,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,230462475,131,9.098404,76.4901644,-109,6,8.1,1718331011876,0.8,140.6,-66.0,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,230462475,131,9.0983736,76.4901856,-101,6,10.2,1718331016707,0.9,165.3,-66.0,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441677,44,9.0982631,76.4902396,-98,5,10.3,1718331036128,0.6,156.7,-67.6,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441677,44,9.0982763,76.4902618,-98,5,8.7,1718331040932,0.7,143.4,-67.6,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441677,44,9.0982773,76.4902855,-98,5,9.1,1718331045510,0.7,82.5,-67.6,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441677,44,9.098281,76.4902909,-98,5,10.0,1718331050332,0.4,65.7,-67.6,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441677,44,9.0982902,76.490311,-98,5,10.7,1718331055053,0.6,35.8,-67.6,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441677,44,9.0983122,76.4903131,-98,5,11.4,1718331059570,0.6,19.8,-67.6,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441677,44,9.098334,76.4903159,-98,5,11.7,1718331064736,0.9,341.9,-67.6,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441677,44,9.0983787,76.4902839,-98,5,11.2,1718331069768,0.9,336.5,-67.6,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,230462465,131,9.0984196,76.4902386,-102,5,10.9,1718331074830,0.8,328.7,-67.6,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441777,44,9.0984626,76.4902193,-105,23,11.6,1718331079812,0.9,338.3,-65.9,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441777,44,9.0985022,76.4902067,-105,24,13.3,1718331084693,0.9,1.9,-65.8,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441777,44,9.0985477,76.490203,-105,23,14.2,1718331089395,1.0,346.1,-65.9,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441777,44,9.0985883,76.4901743,-105,24,13.1,1718331094310,0.9,333.2,-66.0,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441777,44,9.0986308,76.4901556,-105,24,13.7,1718331099327,0.9,328.6,-65.9,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441777,44,9.0986712,76.4901332,-105,24,15.7,1718331104493,0.8,332.7,-67.6,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441777,44,9.0987126,76.4901155,-105,24,16.3,1718331109534,0.8,332.2,-65.8,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441777,44,9.0987428,76.4901074,-105,24,18.4,1718331114547,0.9,323.3,-62.9,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441777,44,9.098773,76.4900756,-109,24,20.9,1718331119428,0.9,329.2,-63.9,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441777,44,9.0987281,76.4900619,-109,24,19.7,1718331124350,0.9,335.3,-63.9,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441777,44,9.0986964,76.4900592,-101,24,14.3,1718331129191,0.9,336.6,-62.9,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441777,44,9.0987877,76.4900854,-105,24,13.5,1718331133953,1.0,0.1,-63.9,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441777,44,9.0988773,76.4901323,-105,24,16.2,1718331138895,0.9,349.0,-68.8,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441777,44,9.098906,76.490131,-105,24,15.8,1718331143808,0.9,344.5,-63.3,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441777,44,9.098949,76.4901235,-100,24,15.4,1718331148768,1.0,350.5,-62.9,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441777,44,9.0990191,76.4901419,-107,24,14.7,1718331153730,0.9,349.0,-63.9,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441777,44,9.0990612,76.4901328,-107,24,15.1,1718331158873,0.9,351.4,-59.7,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441777,44,9.0991351,76.4901812,-107,24,12.6,1718331163613,1.0,2.4,-65.9,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441767,44,9.0991879,76.4901661,-113,24,9.9,1718331168889,0.9,352.7,-63.9,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441777,44,9.0992806,76.4901873,-108,24,9.8,1718331173910,1.0,350.8,-68.8,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441777,44,9.0993216,76.4902405,-112,24,10.1,1718331178692,1.0,15.4,-68.8,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,231441777,44,9.099363,76.4902632,-112,24,9.7,1718331183613,1.0,12.1,-68.8,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,230950001,217,9.0993972,76.4902885,-112,27,8.4,1718331188536,0.9,21.7,-68.8,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,230950001,217,9.0994266,76.4903108,-112,27,7.9,1718331193196,1.0,20.5,-68.8,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,230950001,217,9.0994752,76.4903023,-107,27,8.4,1718331198108,1.0,13.6,-68.8,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,230950001,217,9.0995207,76.4902949,-112,27,9.5,1718331202949,1.0,7.4,-68.8,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,230950001,217,9.0995657,76.4902771,-106,27,9.6,1718331207729,1.0,355.9,-68.8,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,230950001,217,9.099619,76.4902528,-102,27,9.6,1718331212349,1.1,349.2,-68.8,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,230950001,217,9.0996673,76.4902335,-102,27,9.9,1718331217009,1.1,353.9,-68.8,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,230950001,217,9.0997224,76.4902128,-102,27,10.9,1718331221683,1.0,348.3,-65.5,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,230950001,217,9.0997611,76.4901897,-99,27,12.6,1718331226290,1.0,344.0,-65.5,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,230950001,217,9.0998051,76.4901594,-99,27,12.8,1718331231051,1.0,342.4,-68.8,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,230950001,217,9.0998513,76.4901298,-99,27,13.8,1718331235972,1.0,342.4,-65.6,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,230950001,217,9.0998957,76.4900547,-99,27,12.4,1718331241014,0.9,333.4,-69.1,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,230950001,217,9.099941,76.4900151,-99,27,11.7,1718331245968,0.9,330.6,-68.8,33,Motorola_moto_g32
2,LTE,LTE,404,95,3009,230950001,217,9.0999883,76.4900051,-97,27,10.7,1718331251010,0.9,320.2,-69.1,33,Motorola_moto_g32
